person_id,id,name,role,character
1393387,tm84618,Billie Perkins,Actor,Iris' Friend (uncredited)
13433,tm44204,William Hoehne Jr.,Actor,German Officer on Navarone
11476,tm57169,Michael Palin,Actor,Self
943154,ts83071,Jamison Hill,Actor,N/A
17170,tm119281,Faye Dunaway,Actor,Bonnie Parker
3308,tm84618,Martin Scorsese,Director,Director
25098,tm16479,George Chakiris,Actor,Dancer (uncredited)
2281982,ts221016,George Wood,Actor,N/A
168614,tm326089,Karan Kundra,Actor,N/A
167882,tm85563,Newton I. Aduaka,Director,Director
173253,tm71909,Prem Nath,Actor,Senpati Veer of Magadh
11475,tm127384,Terry Jones,Actor,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe / Themselves (uncredited)
2235802,tm52352,B. Hall,Actor,Self
148227,tm1027297,Chow Chung,Actor,N/A
1463011,tm127384,Judy Lamb,Actor,Girl in Castle Anthrax
2170036,tm81461,Fernando Fernandez,Actor,N/A
513684,tm76557,Nadia Shukry,Actor,Sahar
1462623,tm127384,Sally Coombe,Actor,Girl in Castle Anthrax
746957,ts75157,Lynsey Pham,Actor,N/A
703435,tm127384,Fiona Gordon,Actor,Girl in Castle Anthrax
11473,tm57169,Terry Gilliam,Actor,Self
498631,tm16479,Robert Crosson,Actor,Albert (uncredited)
141686,tm28024,Kalila Aguilos,Actor,Violy
11479,tm70993,Kenneth Colley,Actor,Jesus
139800,tm97793,Ahmed Rateb,Actor,Sameh
64407,tm71909,Sunil Dutt,Actor,Magadh Samrat Ajaatha Shatru
223669,tm14491,Edie Sedgwick,Actor,Self - Jury Member
83026,tm14873,Mae Mercer,Actor,Mrs. Russell
416012,tm81461,Juan Pablo Rebella,Director,Director
510971,tm96649,Martina Deignan,Actor,Shirley Biggs
676151,tm938434,Josiah Hogan,Actor,N/A
11475,tm70993,Terry Jones,Actor,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant
381624,tm28024,Maris Dimayuga,Actor,Angie
520600,tm19608,Hamdy Gheith,Actor,Selim
14444,tm190788,Jack Macgowran,Actor,Burke Dennings
1171348,ts83045,Ma Li,Actor,N/A
434506,tm96649,Kalen Keach,Actor,Little Jesse
605931,tm188606,Mzuri,Actor,Lucy
58919,tm67378,Leigh Chapman,Actor,Lady (uncredited)
228530,ts218504,Lukas Engel,Actor,N/A
1462995,tm127384,Vivienne Macdonald,Actor,Girl in Castle Anthrax
2220514,tm52352,2mex,Actor,Self
23699,tm67378,Vaughn Taylor,Actor,Banker
212039,tm160596,Josef Fares,Director,Director
